cycle_n,0-R1,0-R10,0-R11,0-R12,0-R13,0-R14,0-R15,0-R16,0-R17,0-R18,0-R19,0-R2,0-R20,0-R3,0-R4,0-R5,0-R6,0-R7,0-R8,0-R9,31-R1,31-R10,31-R11,31-R12,31-R13,31-R14,31-R15,31-R16,31-R17,31-R18,31-R19,31-R2,31-R20,31-R3,31-R4,31-R5,31-R6,31-R7,31-R8,31-R9,time_s
14,1.380188679245283,1.3568927093282395,1.3623468729851709,1.4226740603820087,1.377129750982962,1.4361628709454797,1.4126084056037358,1.3292857142857142,1.3333333333333333,1.3006351446718418,1.3276963547538518,1.4126029132362254,1.3380333951762524,1.383507050889025,1.398279041180086,1.3719694453669877,1.370757180156658,1.4427066709224385,1.4275929549902153,1.4450775561886673,1.484532725496581,1.4401960784313725,1.4599018003273323,1.4189315838800376,1.443,1.4427048634243838,1.4611748818365968,1.3628288349846258,1.3631342768381083,1.341874341874342,1.3471615720524017,1.4591964846202135,1.3633000369959305,1.3663220088626293,1.4403125,1.423913043478261,1.469174834018337,1.5110329389190917,1.4976728723404256,1.485667215815486,1560.044
15,1.4459119496855346,1.4205666985036614,1.4184397163120568,1.5036968576709797,1.447575360419397,1.5134575569358177,1.4816544362908606,1.375357142857143,1.390131345402911,1.3500352858151023,1.3784291619691844,1.4898670044331856,1.3877551020408163,1.4546290619251994,1.4738783036263061,1.4483560278977083,1.4360313315926894,1.5202681136291094,1.5019569471624266,1.5163026274137386,1.56496255291436,1.515032679738562,1.5505728314238953,1.4989065916900968,1.5316666666666667,1.5229846768820787,1.5391627278865632,1.4277417150666212,1.432171211598205,1.4047034047034046,1.4192139737991267,1.5480225988700564,1.421383647798742,1.4508124076809454,1.519375,1.5025575447570332,1.5488460322478659,1.6018548129197314,1.6003989361702127,1.57331136738056,1680.047
16,1.5232704402515724,1.4877427570837314,1.493230174081238,1.6210720887245842,1.5275229357798166,1.5952380952380953,1.558705803869246,1.4332142857142858,1.4604188853390132,1.407198306280875,1.4351747463359639,1.5753641545281825,1.4519480519480519,1.5318822808093195,1.558082360172096,1.5207572235137827,1.5140339425587468,1.6141078838174274,1.5870841487279843,1.608420386198164,1.655812438944969,1.6143790849673203,1.639279869067103,1.5879412683536396,1.6183333333333334,1.6175882744836776,1.6343686698176907,1.4916296549367953,1.4936140835346912,1.4717444717444716,1.4807132459970889,1.640615191462649,1.4942656307806141,1.537370753323486,1.6146875,1.5907928388746804,1.6465380967435979,1.7051487048289096,1.696808510638298,1.6757825370675452,1800.05
17,1.5965408805031447,1.5581025151225725,1.5638297872340425,1.6337030191004314,1.6009174311926606,1.675983436853002,1.6460973982655103,1.4935714285714285,1.5221867234646786,1.4583627381792519,1.4994363021420518,1.662761241291957,1.5053803339517626,1.6134273451870018,1.6496619545175168,1.5991364995018267,1.5828981723237598,1.7047558250877752,1.669928245270711,1.7008547008547008,1.7525236079452946,1.7098039215686274,1.7237315875613748,1.676351140268666,1.718,1.7058627581612258,1.7282241728561782,1.5667919371370003,1.5712806351397999,1.538083538083538,1.5465793304221251,1.7369742623979911,1.562708102108768,1.6322008862629247,1.7115625,1.6838235294117647,1.7429655390452103,1.8113207547169812,1.8071808510638299,1.7762767710049423,1920.064
18,1.6839622641509433,1.6345113021330786,1.6411992263056092,1.7236598890942698,1.6900393184796854,1.7698412698412698,1.728152101400934,1.555,1.58217962371317,1.5141143260409315,1.5618188650883127,1.7482583913869538,1.574025974025974,1.6894543225015328,1.7366318377381684,1.6824975091331784,1.6680809399477807,1.7976380466007023,1.764187866927593,1.8034188034188035,1.8466297622924128,1.8107843137254902,1.827823240589198,1.7775695095282724,1.8186666666666667,1.8051299133910725,1.8308575286968265,1.6385377519644688,1.639972385226096,1.6153036153036153,1.6266375545851528,1.844946641556811,1.6440991490935997,1.7246676514032497,1.8165625,1.7915601023017902,1.8479291811571292,1.9280460505276622,1.915558510638298,1.88500823723229,2040.066
19,1.769811320754717,1.7099649793059535,1.7179239200515797,1.818237831176833,1.772608125819135,1.86783988957902,1.809873248832555,1.6171428571428572,1.6549520766773163,1.5850388143966125,1.6350995866215707,1.845155161494617,1.6348794063079777,1.7786633966891479,1.8355869698832206,1.7668548654931917,1.7464099216710183,1.903925949569103,1.8643183300717547,1.9002849002849003,1.9583197655486813,1.9163398692810458,1.9224222585924713,1.8750390502967822,1.9323333333333332,1.9157228514323783,1.9463200540175558,1.7102835667919372,1.7259233690024163,1.6921726921726923,1.6990538573508005,1.9544883866917766,1.7129115797262302,1.8271787296898079,1.9278125,1.893222506393862,1.9576351564969965,2.045730732331308,2.03656914893617,2.0056013179571663,2160.068
20,1.8512578616352202,1.7940146450175103,1.7952933591231464,1.9152803450400493,1.8663171690694627,1.9568668046928916,1.8982655103402268,1.69,1.7412140575079873,1.6482004234297811,1.7008643367155205,1.9385687143761874,1.709090909090909,1.8767627222562846,1.9357713583282115,1.8621720358684821,1.8328981723237598,2.00638365783594,1.9582517938682322,1.99335232668566,2.064474112666884,2.026143790849673,2.0353518821603926,1.977819431427679,2.049,2.020652898067955,2.0573936529372046,1.7833959685685001,1.8022091819123232,1.7820287820287821,1.7885735080058225,2.0750156936597612,1.7983721790603033,1.938847858197932,2.04,1.993925831202046,2.063863420803035,2.1618164374800126,2.157247340425532,2.129489291598023,2280.07
21,1.9421383647798742,1.8761540910538046,1.878787878787879,2.0157116451016637,1.9629750982961993,2.0527950310559007,1.9983322214809873,1.7532142857142856,1.8090166844160454,1.712773465067043,1.7763998496805713,2.0484483850538315,1.7840445269016698,1.973635806253832,2.0433312845728335,1.9561607439388908,1.9239556135770235,2.118416852856687,2.059686888454012,2.1114276669832224,2.176489742754803,2.1405228758169934,2.130932896890344,2.08309903155264,2.165,2.1352431712191873,2.1826468602295748,1.8609497779296207,1.8891957197100449,1.8655668655668656,1.8799126637554586,2.1908349026993097,1.8864224935257121,2.054357459379616,2.1559375,2.1259590792838874,2.1805248182105594,2.298049248480972,2.2878989361702127,2.2510708401976935,2400.076
22,2.020125786163522,1.9659344157911494,1.9558349451966472,2.1155268022181146,2.0570117955439056,2.16632160110421,2.087391594396264,1.822142857142857,1.8814341498047569,1.7840508115737475,1.8568207440811726,2.1466117796073463,1.8575139146567718,2.079092581238504,2.1475107559926245,2.0508136831617403,2.010443864229765,2.216086817746569,2.166992824527071,2.2298195631528963,2.284923477694562,2.264705882352941,2.2356792144026185,2.1955638862855356,2.2866666666666666,2.2508327781479016,2.297434166103984,1.9477280491971303,1.967207455988954,1.94980694980695,1.9697962154294033,2.305398618957941,1.9692933777284498,2.1642540620384048,2.2721875,2.2400895140664963,2.2946569712298452,2.4182922929325232,2.4155585106382977,2.3805601317957166,2520.079
23,2.1235849056603775,2.0588984399872654,2.041263700838169,2.21996303142329,2.1517038007863696,2.275017253278123,2.1887925283522347,1.89,1.969826056088037,1.8493295695130558,1.9406238256294626,2.246358454718176,1.9380333951762523,2.1765787860208463,2.2519975414874,2.148123546994354,2.101501305483029,2.333226939036068,2.2684279191128507,2.3396644507755617,2.398892868772387,2.3856209150326797,2.34860883797054,2.303342705404561,2.407,2.3730846102598266,2.4331532748143148,2.0345063204646396,2.0666206420434934,2.044928044928045,2.064774381368268,2.438166980539862,2.075101738808731,2.283308714918759,2.405,2.367007672634271,2.4173253240594375,2.547809401982731,2.55718085106383,2.5209225700164746,2640.086
